Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
15289,22-000060,-16.258,104.034,58.25,0.1,252,454,90
15330,22-000101,-13.297,103.999,46.97,0.08,249,185,73
15359,22-000130,-13.803,106.498,40.82,1.11,476,231,63
15588,22-000359,-14.251,101.741,23.88,0.4,44,272,37
15633,22-000404,-14.913,106.016,22.5,0.11,432,332,35
15730,22-000501,-13.356,105.279,19.64,1.25,366,191,31
15753,22-000524,-11.737,106.795,18.83,1.19,503,44,29
15756,22-000527,-11.576,101.847,18.81,1.17,54,29,29
15881,22-000652,-11.346,103.532,16.34,0.92,207,8,26
16000,22-000771,-13.672,102.584,14.54,0.07,121,220,23
16036,22-000807,-11.839,106.487,14.01,0.92,475,53,22
16093,22-000864,-13.222,106.347,13.35,0.82,463,179,21
16095,22-000866,-15.239,101.898,13.31,0.95,58,362,21
16219,22-000990,-12.076,105.114,11.94,0.7,351,75,19
16331,22-001102,-12.697,104.886,10.88,0.0,330,131,17
16534,22-001305,-13.946,102.213,9.21,0.75,87,244,15
16562,22-001333,-13.774,104.224,9.03,0.75,270,229,14
16605,22-001376,-14.424,103.149,8.76,0.82,172,288,14
16695,22-001466,-15.013,103.402,8.3,0.71,195,341,13
