Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
11895,20-000089,-20.497,44.532,58.91,2.06,468,329,91
11915,20-000109,-20.256,42.587,53.59,0.87,291,307,83
11920,20-000114,-17.709,40.379,53.12,0.59,91,75,82
11945,20-000139,-17.007,39.602,49.44,1.55,20,11,77
11948,20-000142,-21.36,41.084,48.27,1.78,155,407,75
11953,20-000147,-18.996,40.02,47.85,2.01,58,192,74
11996,20-000190,-21.508,44.762,41.46,1.81,489,420,64
11998,20-000192,-20.326,43.877,41.31,1.05,408,313,64
12186,20-000380,-19.144,41.669,28.7,0.92,208,206,45
12240,20-000434,-22.371,40.367,26.79,0.94,90,499,42
12250,20-000444,-20.551,41.922,26.46,0.64,231,333,41
12266,20-000460,-20.248,43.249,26.06,0.67,351,306,41
12276,20-000470,-21.614,44.144,25.85,0.54,433,430,40
12310,20-000504,-19.583,43.128,24.7,0.54,340,246,38
12317,20-000511,-20.875,42.365,24.42,0.84,271,363,38
12337,20-000531,-20.426,40.099,23.95,0.75,65,322,37
12359,20-000553,-20.982,44.963,23.07,0.92,507,373,36
12398,20-000592,-19.523,43.815,21.8,0.24,403,240,34
12407,20-000601,-21.348,39.565,21.66,0.65,17,406,34
12424,20-000618,-19.282,40.55,21.26,0.38,106,218,33
12528,20-000722,-17.488,44.875,18.96,0.38,499,55,30
12545,20-000739,-19.28,40.894,18.69,0.41,137,218,29
12568,20-000762,-22.395,42.354,18.27,1.69,270,501,29
12572,20-000766,-19.702,41.901,18.23,0.45,229,256,29
12577,20-000771,-18.397,41.857,18.16,1.38,225,138,28
12613,20-000807,-19.97,40.133,17.26,0.15,68,281,27
12634,20-000828,-20.641,40.114,16.76,1.24,67,342,26
12645,20-000839,-16.881,42.655,16.54,0.47,297,0,26
12654,20-000848,-17.018,42.113,16.46,0.09,248,12,26
12735,20-000929,-20.671,43.527,15.28,0.72,377,344,24
12896,20-001090,-17.991,39.424,13.3,0.11,4,101,21
12912,20-001106,-20.358,43.223,13.16,0.51,349,316,21
13006,20-001200,-18.16,41.516,12.04,1.1,194,116,19
13023,20-001217,-20.415,42.031,11.91,1.03,241,321,19
13028,20-001222,-21.773,43.742,11.86,0.16,396,444,19
13048,20-001242,-20.698,43.268,11.69,0.98,353,347,18
13056,20-001250,-19.088,44.263,11.64,0.99,444,201,18
13059,20-001253,-18.151,41.812,11.63,0.67,221,115,18
13063,20-001257,-20.82,40.655,11.58,0.0,116,358,18
13092,20-001286,-20.221,39.428,11.26,0.11,4,303,18
13125,20-001319,-18.392,42.197,10.92,0.42,256,137,17
13182,20-001376,-22.182,39.911,10.52,0.18,48,482,17
13188,20-001382,-20.261,43.128,10.49,0.38,340,307,17
13241,20-001435,-17.916,43.301,10.06,0.98,356,94,16
13261,20-001455,-20.172,44.337,9.85,0.0,450,299,16
13296,20-001490,-17.866,41.49,9.6,0.72,192,90,15
13308,20-001502,-21.984,44.009,9.51,0.3,420,464,15
13357,20-001551,-21.073,42.804,9.18,0.18,311,381,15
13470,20-001664,-19.953,43.31,8.49,0.0,357,279,14
13535,20-001729,-22.271,39.539,8.1,0.2,14,490,13
