Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
10439,19-000001,-25.097,-32.734,624.5,0.0,92,235,961
10441,19-000003,-24.716,-32.108,300.36,0.0,149,201,463
10521,19-000083,-23.989,-33.328,53.94,0.98,38,135,83
10641,19-000203,-23.235,-28.21,33.35,0.0,503,66,52
10706,19-000268,-23.928,-30.923,29.33,0.12,256,129,46
10756,19-000318,-24.277,-28.496,26.6,0.78,477,161,41
10789,19-000351,-27.5,-32.847,25.1,0.66,82,454,39
10872,19-000434,-24.17,-28.808,21.31,0.42,448,151,33
11104,19-000666,-25.691,-28.266,15.48,0.39,498,289,24
11114,19-000676,-26.303,-29.142,15.28,1.36,418,345,24
11158,19-000720,-28.086,-31.469,14.58,0.66,207,507,23
11218,19-000780,-28.067,-29.655,13.59,0.44,372,505,21
11232,19-000794,-25.555,-30.346,13.32,1.08,309,277,21
11245,19-000807,-25.139,-28.871,13.14,0.34,443,239,21
11382,19-000944,-23.246,-32.405,11.27,0.73,122,67,18
11433,19-000995,-27.782,-29.657,10.79,0.21,371,479,17
11469,19-001031,-27.794,-32.431,10.43,0.16,119,480,17
11596,19-001158,-27.16,-29.109,9.29,0.93,421,423,15
11636,19-001198,-25.541,-31.466,9.09,0.31,207,276,14
11645,19-001207,-22.504,-30.645,9.03,0.29,282,0,14
11665,19-001227,-26.261,-30.217,8.89,0.19,320,341,14
11692,19-001254,-23.869,-29.871,8.64,0.44,352,124,14
11697,19-001259,-25.906,-28.867,8.62,0.0,443,309,14
11699,19-001261,-24.961,-28.983,8.61,0.0,433,223,14
11708,19-001270,-27.88,-29.122,8.58,0.59,420,488,14
