Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
15244,22-000015,-1.134,94.859,86.8,2.91,441,103,134
15258,22-000029,-4.965,93.626,70.07,2.17,329,451,108
15268,22-000039,-2.858,90.778,64.51,2.19,70,259,100
15358,22-000129,-3.066,91.395,40.86,0.9,126,278,63
15404,22-000175,-4.168,95.185,36.04,1.24,471,378,56
15431,22-000202,-5.524,94.576,33.81,0.76,415,501,53
15433,22-000204,-4.602,90.522,33.49,1.09,47,418,52
15441,22-000212,-0.428,93.407,32.95,1.62,309,38,51
15525,22-000296,-4.504,93.777,26.69,0.0,343,409,42
15569,22-000340,-3.045,92.386,24.75,1.51,216,276,39
15586,22-000357,-1.753,92.376,24.16,0.52,215,159,38
15649,22-000420,-4.567,91.403,22.19,0.0,127,414,35
15666,22-000437,-3.159,94.898,21.56,0.45,444,286,34
15694,22-000465,-2.439,93.657,20.67,0.44,332,221,32
15748,22-000519,-1.198,90.454,19.12,1.41,41,108,30
15765,22-000536,-1.422,92.229,18.63,0.53,202,129,29
15775,22-000546,-0.472,90.068,18.41,0.85,6,42,29
15799,22-000570,-2.867,92.901,17.85,0.71,263,260,28
15839,22-000610,-1.601,92.578,17.03,0.9,234,145,27
15900,22-000671,-2.347,93.219,16.1,0.93,292,213,25
15928,22-000699,-2.59,94.638,15.69,0.58,421,235,25
15929,22-000700,-4.689,92.554,15.69,0.45,232,425,25
15977,22-000748,-4.248,91.849,14.81,0.59,167,385,23
15988,22-000759,-3.854,93.406,14.65,0.27,309,350,23
15996,22-000767,-3.506,92.939,14.59,0.43,266,318,23
15998,22-000769,-5.22,91.084,14.59,0.15,98,474,23
16159,22-000930,-4.229,93.4,12.45,0.43,308,384,20
16178,22-000949,-0.992,90.791,12.25,0.29,71,90,19
16182,22-000953,-4.696,90.876,12.22,0.56,79,426,19
16192,22-000963,-2.756,92.484,12.09,0.4,225,250,19
16216,22-000987,-0.994,93.59,11.96,0.38,326,90,19
16226,22-000997,-1.669,90.481,11.84,0.51,43,151,19
16239,22-001010,-0.613,90.373,11.74,0.45,33,55,19
16240,22-001011,-3.233,94.15,11.71,0.5,377,293,19
16241,22-001012,-4.092,93.927,11.71,0.46,356,371,19
16341,22-001112,-0.288,90.2,10.77,0.0,18,26,17
16352,22-001123,-0.774,90.771,10.67,0.84,70,70,17
16388,22-001159,-1.161,92.346,10.35,0.23,213,105,16
16515,22-001286,-3.651,93.653,9.42,0.18,331,331,15
16574,22-001345,-1.637,91.746,8.93,1.02,158,148,14
16598,22-001369,-0.731,90.196,8.79,0.26,17,66,14
16599,22-001370,-4.019,90.333,8.79,0.15,30,365,14
16645,22-001416,-4.449,91.837,8.53,0.83,166,404,14
16649,22-001420,-1.344,91.747,8.51,0.81,158,122,14
16682,22-001453,-0.106,90.685,8.34,0.75,62,9,13
16746,22-001517,-3.004,91.482,8.02,0.49,134,272,13
