Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
10494,19-000056,-4.505,-42.135,63.79,1.02,260,409,99
10497,19-000059,-1.418,-39.673,62.86,0.82,483,128,97
10569,19-000131,-2.269,-42.157,43.36,0.72,258,206,67
10595,19-000157,-5.456,-40.311,39.25,1.04,425,495,61
10619,19-000181,-5.557,-43.874,36.26,0.21,102,504,56
10732,19-000294,-0.352,-42.657,27.97,1.48,212,31,44
10793,19-000355,-3.336,-41.604,24.89,0.89,308,303,39
10798,19-000360,-3.301,-44.648,24.77,0.21,31,299,39
10807,19-000369,-3.624,-39.758,24.34,1.56,476,329,38
10835,19-000397,-0.001,-39.922,22.9,0.46,461,0,36
10864,19-000426,-0.272,-42.405,21.56,0.36,235,24,34
10867,19-000429,-2.002,-40.522,21.5,0.99,406,181,34
10984,19-000546,-4.546,-43.346,18.47,0.84,150,412,29
10998,19-000560,-0.247,-40.605,18.1,0.0,399,22,28
11014,19-000576,-1.275,-40.88,17.6,0.69,374,115,28
11047,19-000609,-2.092,-43.313,16.74,0.75,153,190,26
11145,19-000707,-4.263,-39.748,14.79,0.91,477,387,23
11307,19-000869,-3.765,-41.209,12.27,0.9,344,342,19
11327,19-000889,-3.484,-43.303,11.93,0.89,154,316,19
11331,19-000893,-1.505,-43.059,11.91,0.46,176,136,19
11416,19-000978,-1.07,-43.583,10.9,1.88,128,97,17
11555,19-001117,-3.205,-43.184,9.57,0.47,164,291,15
11576,19-001138,-3.62,-39.972,9.43,0.42,456,328,15
11591,19-001153,-3.221,-42.458,9.31,0.39,230,292,15
11592,19-001154,-4.051,-44.538,9.3,0.4,41,368,15
11671,19-001233,-3.802,-39.436,8.79,0.31,505,345,14
11745,19-001307,-2.653,-42.297,8.38,0.71,245,241,13
11773,19-001335,-1.89,-41.782,8.16,0.39,292,171,13
