Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
16762,23-000007,-10.602,139.781,114.38,1.27,434,452,176
16764,23-000009,-9.311,138.306,108.03,1.58,300,334,167
16827,23-000072,-10.818,136.403,57.1,1.08,127,471,88
16829,23-000074,-7.635,137.621,56.38,1.03,238,182,87
16838,23-000083,-11.203,140.158,53.81,0.99,468,506,83
16842,23-000087,-6.94,135.332,51.28,0.87,30,119,79
16934,23-000179,-10.029,136.707,37.38,0.98,155,400,58
16956,23-000201,-9.744,139.497,36.22,1.66,408,374,56
17013,23-000258,-10.773,137.5,31.0,0.53,227,467,48
17019,23-000264,-8.164,136.738,30.54,0.38,157,230,47
17089,23-000334,-11.053,137.34,27.21,1.09,212,493,42
17104,23-000349,-10.956,137.466,26.49,1.52,224,484,41
17106,23-000351,-8.708,139.674,26.35,0.33,424,280,41
17144,23-000389,-7.877,136.261,24.45,0.6,114,204,38
17150,23-000395,-6.077,139.526,24.29,0.47,411,41,38
17239,23-000484,-9.852,136.412,21.08,0.58,128,383,33
17271,23-000516,-7.315,136.545,20.44,0.42,140,153,32
17289,23-000534,-11.07,138.108,19.89,1.3,282,494,31
17306,23-000551,-6.936,135.781,19.52,0.47,70,119,31
17350,23-000595,-7.542,137.253,18.48,1.38,204,174,29
17389,23-000634,-6.102,139.831,17.85,0.36,438,43,28
17511,23-000756,-9.113,135.914,15.47,0.32,83,316,24
17591,23-000836,-8.059,139.697,14.26,0.29,426,221,22
17677,23-000922,-9.684,137.681,13.06,0.56,243,368,21
17830,23-001075,-9.336,135.276,11.51,0.59,25,337,18
17879,23-001124,-8.57,135.192,11.12,0.27,17,267,18
17966,23-001211,-6.295,139.172,10.36,0.29,379,60,16
18096,23-001341,-6.431,139.033,9.31,0.28,366,73,15
18116,23-001361,-6.864,135.985,9.17,0.0,89,112,15
18121,23-001366,-9.181,135.734,9.15,0.0,66,323,15
18155,23-001400,-8.452,135.097,8.99,0.09,8,256,14
18171,23-001416,-9.147,138.567,8.91,0.0,324,319,14
