Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
19951,26-000073,-34.286,-22.554,53.29,0.33,506,48,82
19989,26-000140,-37.321,-27.912,44.57,0.54,19,324,69
20006,26-000180,-34.864,-23.062,39.1,1.5,459,101,61
20055,26-000269,-36.699,-22.767,30.98,0.68,486,267,48
20114,26-000381,-37.566,-26.055,24.63,0.37,188,346,38
20147,26-000433,-36.312,-23.708,22.76,0.49,401,232,36
20209,26-000536,-35.456,-24.568,19.42,0.45,323,154,30
20256,26-000617,-33.809,-25.551,17.28,0.42,233,5,27
20261,26-000624,-36.162,-27.261,17.14,0.05,78,219,27
20283,26-000666,-39.252,-23.873,16.25,0.92,386,499,25
20288,26-000675,-38.665,-23.277,15.96,0.25,440,446,25
20296,26-000686,-36.941,-25.616,15.7,0.28,227,289,25
20297,26-000687,-36.197,-22.534,15.68,0.3,507,222,25
20355,26-000805,-38.708,-25.831,13.6,0.78,208,450,21
20444,26-000954,-37.611,-25.171,11.41,0.46,268,350,18
20452,26-000965,-35.383,-27.991,11.21,0.56,12,148,18
20455,26-000968,-39.231,-27.507,11.14,0.21,56,497,18
20491,26-001035,-36.727,-27.947,10.38,0.06,16,270,16
20508,26-001056,-38.523,-27.376,10.18,0.17,68,433,16
20545,26-001108,-38.537,-25.538,9.67,0.37,235,434,15
20558,26-001130,-34.502,-24.788,9.43,0.0,303,68,15
20577,26-001159,-39.1,-23.296,9.16,0.32,438,486,15
20635,26-001269,-39.306,-25.004,8.3,0.05,283,504,13
