Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
10721,19-000283,-29.696,-25.038,28.55,1.48,280,142,44
10777,19-000339,-29.185,-23.212,25.6,1.57,446,96,40
11056,19-000618,-28.58,-26.199,16.49,1.17,174,41,26
11175,19-000737,-28.459,-24.362,14.19,0.37,341,30,22
11247,19-000809,-29.784,-27.06,13.13,0.7,96,150,21
11282,19-000844,-29.215,-25.559,12.64,0.1,233,99,20
11472,19-001034,-29.049,-22.888,10.37,0.2,475,83,16
11589,19-001151,-29.154,-26.634,9.36,0.0,135,93,15
11601,19-001163,-29.528,-26.816,9.27,0.63,118,127,15
11694,19-001256,-29.697,-22.877,8.63,0.54,476,142,14
19939,26-000047,-32.224,-23.594,61.77,1.65,411,372,96
19942,26-000054,-32.789,-26.712,58.86,1.38,128,423,91
19973,26-000109,-30.111,-22.592,48.26,1.14,502,180,75
19990,26-000141,-30.229,-25.146,44.15,1.15,270,191,68
20016,26-000196,-32.923,-24.416,37.29,0.7,336,435,58
20104,26-000360,-33.395,-27.852,25.36,0.46,24,478,40
20120,26-000392,-30.488,-22.592,24.18,1.46,502,214,38
20156,26-000450,-30.194,-26.077,22.21,1.37,186,187,35
20240,26-000590,-32.814,-27.573,17.97,0.82,50,425,28
20254,26-000615,-32.452,-25.27,17.36,0.28,259,393,27
20331,26-000758,-31.652,-27.6,14.2,0.25,47,320,22
20337,26-000775,-33.249,-22.988,13.99,0.13,466,465,22
20352,26-000797,-33.113,-24.469,13.68,1.06,332,453,22
20393,26-000869,-30.425,-27.936,12.51,0.05,17,208,20
20420,26-000906,-30.102,-24.703,11.97,0.63,310,179,19
20432,26-000932,-33.288,-28.114,11.63,0.45,0,469,18
20458,26-000975,-32.286,-25.688,11.02,0.55,221,378,17
20471,26-001001,-31.244,-24.447,10.83,0.58,334,283,17
20473,26-001004,-31.729,-27.807,10.79,0.19,28,327,17
20489,26-001033,-31.569,-27.836,10.45,0.38,26,312,17
20506,26-001054,-30.864,-27.161,10.25,0.07,87,248,16
20533,26-001090,-30.781,-27.385,9.83,0.11,67,241,16
20571,26-001150,-30.117,-24.043,9.26,0.08,370,180,15
20600,26-001193,-31.04,-26.312,8.91,0.15,164,264,14
