Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
9901,18-000003,-7.143,-61.052,92.75,0.0,74,137,143
9911,18-000013,-8.263,-56.771,75.61,1.07,463,239,117
9917,18-000019,-10.049,-61.327,65.0,0.55,49,401,100
9926,18-000028,-8.239,-58.808,52.99,0.07,278,237,82
9933,18-000035,-7.68,-56.518,46.44,1.83,486,186,72
9954,18-000056,-6.21,-56.831,37.3,0.33,458,53,58
9959,18-000061,-8.116,-57.891,35.7,0.11,361,226,55
10025,18-000127,-9.607,-56.846,22.69,0.03,456,361,35
10098,18-000200,-7.205,-57.828,17.15,0.28,367,143,27
10135,18-000237,-6.253,-58.267,15.3,1.05,327,57,24
10154,18-000256,-7.918,-59.74,14.53,0.89,193,208,23
10172,18-000274,-8.521,-57.309,13.99,0.82,414,263,22
10200,18-000302,-8.595,-56.598,12.82,1.07,479,269,20
10230,18-000332,-8.965,-56.476,11.93,0.56,490,303,19
10256,18-000358,-10.127,-56.701,11.22,0.68,470,408,18
10263,18-000365,-10.543,-58.521,11.08,0.76,304,446,18
10322,18-000424,-7.834,-57.288,9.84,0.0,416,200,16
10413,18-000515,-9.429,-59.518,8.31,0.62,214,345,13
10427,18-000529,-7.948,-56.965,8.06,0.19,446,211,13
