Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
22036,29-000057,-42.491,124.864,62.58,0.71,101,283,97
22072,29-000108,-44.935,125.432,52.23,1.5,152,505,81
22104,29-000178,-44.523,124.213,42.65,0.26,42,467,66
22113,29-000200,-43.846,125.942,41.13,2.16,199,406,64
22137,29-000246,-44.985,124.627,37.09,0.55,79,509,58
22159,29-000291,-40.516,127.751,35.08,1.28,363,103,54
22175,29-000319,-41.923,127.537,33.47,1.01,344,231,52
22176,29-000320,-41.214,125.081,33.46,1.82,120,167,52
22269,29-000522,-42.622,125.963,25.48,1.09,201,294,40
22301,29-000589,-41.432,127.413,23.96,0.59,332,186,37
22332,29-000656,-43.224,128.921,22.63,0.17,469,349,35
22361,29-000711,-41.716,125.99,21.29,0.7,203,212,33
22363,29-000717,-39.533,125.42,21.23,0.08,151,14,33
22380,29-000747,-44.963,126.627,20.74,0.62,261,507,32
22383,29-000751,-42.317,124.806,20.72,0.1,95,267,32
22430,29-000858,-40.583,123.849,18.97,0.67,8,109,30
22492,29-000983,-44.407,125.023,16.8,0.38,115,457,26
22506,29-001010,-43.85,127.507,16.5,0.42,341,406,26
22545,29-001080,-40.048,125.527,15.67,0.39,161,61,25
22559,29-001111,-43.256,127.801,15.26,0.09,368,352,24
22567,29-001133,-43.248,124.995,15.02,0.16,113,351,24
22578,29-001159,-43.476,128.403,14.68,0.06,422,372,23
22581,29-001164,-40.282,128.846,14.65,0.44,462,82,23
22583,29-001169,-40.656,126.82,14.56,0.44,278,116,23
22639,29-001280,-44.428,124.808,13.44,0.38,96,459,21
22676,29-001367,-41.376,126.776,12.66,0.36,274,181,20
22696,29-001408,-42.326,125.575,12.38,0.44,165,268,20
22711,29-001434,-40.852,128.02,12.13,0.27,387,134,19
22762,29-001559,-40.865,124.523,11.1,0.16,70,135,18
22777,29-001594,-41.647,127.549,10.85,0.47,345,206,17
22781,29-001599,-39.96,127.37,10.83,0.17,328,53,17
22845,29-001737,-42.373,126.345,9.95,0.12,235,272,16
22869,29-001790,-39.715,128.704,9.61,0.25,450,30,15
22899,29-001854,-42.991,125.267,9.24,0.19,137,328,15
22949,29-001941,-44.899,128.131,8.81,0.11,397,501,14
22988,29-002023,-40.367,126.575,8.46,0.25,256,90,14
23000,29-002046,-44.679,129.366,8.36,0.06,510,481,13
23040,29-002115,-41.201,127.684,8.08,0.22,357,165,13
