Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
7835,15-000020,16.642,171.466,46.29,0.52,246,21,72
7847,15-000032,13.081,171.715,37.17,0.43,269,344,58
7849,15-000034,13.423,171.285,36.94,0.5,230,313,57
7852,15-000037,14.479,173.612,35.39,0.35,441,217,55
7873,15-000058,12.329,169.939,27.11,0.08,108,412,42
7874,15-000059,12.334,174.124,26.9,0.1,488,412,42
7875,15-000060,11.818,173.913,26.79,0.08,469,459,42
7877,15-000062,16.849,173.535,26.45,1.79,434,2,41
7882,15-000067,13.732,171.801,25.13,0.38,277,285,39
7892,15-000077,13.991,170.537,22.33,0.25,162,261,35
7899,15-000084,13.716,172.378,21.58,0.47,329,286,34
7910,15-000095,16.619,169.551,20.15,0.32,72,23,31
7916,15-000101,15.478,170.491,19.72,0.7,158,126,31
7941,15-000126,14.883,169.834,16.46,0.68,98,180,26
7942,15-000127,14.772,172.221,16.39,0.42,315,191,26
8008,15-000193,15.514,169.017,12.02,0.44,24,123,19
8013,15-000198,11.986,170.234,11.92,0.2,134,444,19
8053,15-000238,15.318,170.494,10.33,0.81,158,141,16
8070,15-000255,16.262,169.25,9.96,0.29,45,55,16
8109,15-000294,15.263,171.257,8.69,0.76,227,146,14
8118,15-000303,12.899,172.52,8.5,0.7,342,361,14
8119,15-000304,15.245,169.8,8.49,0.64,95,148,14
8121,15-000306,12.461,170.218,8.44,0.21,133,400,13
8122,15-000307,15.515,169.437,8.41,0.06,62,123,13
8125,15-000310,11.681,172.108,8.38,0.09,305,471,13
8127,15-000312,13.617,169.867,8.32,0.65,101,295,13
