Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
18419,24-000133,-43.058,-153.639,53.27,0.83,350,334,82
18431,24-000159,-43.927,-153.066,49.53,2.19,402,413,77
18470,24-000242,-41.308,-155.245,40.03,1.24,204,175,62
18531,24-000395,-44.638,-156.646,31.23,0.99,77,478,49
18533,24-000399,-41.545,-154.565,31.02,1.82,266,197,48
18597,24-000531,-41.628,-154.613,25.46,0.0,262,204,40
18685,24-000731,-41.611,-152.941,20.33,0.28,414,203,32
18702,24-000767,-44.994,-152.652,19.45,0.82,440,510,30
18756,24-000876,-40.33,-153.676,17.31,0.24,347,86,27
18797,24-000972,-41.196,-153.927,15.85,0.69,324,165,25
18833,24-001040,-43.012,-156.981,14.94,0.35,47,330,23
18854,24-001084,-43.183,-154.801,14.31,0.21,245,345,23
18862,24-001099,-42.659,-152.599,14.14,0.72,445,298,22
18900,24-001188,-42.41,-152.124,13.02,0.06,488,275,21
18904,24-001199,-40.756,-153.43,12.97,0.17,369,125,20
18932,24-001265,-40.964,-153.869,12.34,0.46,329,144,19
18949,24-001302,-39.723,-152.282,12.02,0.0,474,31,19
18964,24-001347,-42.781,-156.134,11.62,0.0,124,309,18
18978,24-001376,-41.079,-156.0,11.31,0.66,136,154,18
18982,24-001384,-40.816,-153.685,11.25,0.59,346,130,18
18987,24-001394,-40.115,-155.267,11.16,0.76,202,67,18
18988,24-001395,-41.838,-153.555,11.16,0.51,358,223,18
19004,24-001427,-40.013,-153.866,10.92,0.72,330,57,17
19009,24-001435,-44.899,-154.49,10.87,0.14,273,501,17
19028,24-001474,-40.14,-152.389,10.52,0.16,464,69,17
19040,24-001501,-40.022,-153.103,10.36,0.16,399,58,16
19078,24-001592,-41.135,-154.222,9.73,0.14,297,159,15
19149,24-001742,-41.033,-155.068,8.81,0.0,220,150,14
19163,24-001769,-43.776,-156.933,8.69,0.23,51,399,14
